artifact_role	candidate_id	selection_status	cohort	pair_population	benchmark	pregrouper	scope	requested_scope	resolved_scope	contrast	requested_contrast	resolved_source_contrast	resolved_target_contrast	readout_contrast	availability_status	unavailable_reason	api_infinity_policy	aggregation	model_s	model_t	metric	statistic	n_observations	n_prompts	f_point	f_lo	f_hi
analysis	not_applicable	not_applicable	paper	open_open	boolq	sentence	all	all	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred	spearman	3270	3270	0.5122603720640666	0.4872987841652494	0.5368097816402428
analysis	not_applicable	not_applicable	paper	open_open	boolq	sentence	all	all	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred	pearson_r2	3270	3270	0.25280594933125233	0.2285075122824273	0.27771722699519635
analysis	not_applicable	not_applicable	paper	open_open	boolq	sentence	all	all	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred	spearman	3270	3270	0.4462115211637524	0.4185403422000003	0.47417510808634544
analysis	not_applicable	not_applicable	paper	open_open	boolq	sentence	all	all	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred	pearson_r2	3270	3270	0.21234939105047954	0.18816275888698633	0.23749444945198925
analysis	not_applicable	not_applicable	paper	open_open	boolq	sentence	all	all	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred	spearman	3270	3270	0.4556477352721686	0.42477322010525637	0.4826213147918354
analysis	not_applicable	not_applicable	paper	open_open	boolq	sentence	all	all	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred	pearson_r2	3270	3270	0.19752261990262657	0.17231733145307007	0.22221447458226798
analysis	not_applicable	not_applicable	paper	open_open	boolq	sentence	all	all	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred	spearman	3270	3270	0.4168533379364167	0.3888223734971768	0.44567449440118817
analysis	not_applicable	not_applicable	paper	open_open	boolq	sentence	all	all	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred	pearson_r2	3270	3270	0.17418772460673754	0.15253435844403934	0.19843945785276812
analysis	not_applicable	not_applicable	paper	open_hosted	boolq	sentence	all	all	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	F_pred	spearman	3270	3270	0.3625214973005265	0.3311067238983351	0.39206831573432444
analysis	not_applicable	not_applicable	paper	open_hosted	boolq	sentence	all	all	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	F_pred	pearson_r2	3270	3270	0.12849212352099604	0.10737461020254617	0.15018941160659424
