cohort	pair_population	benchmark	pregrouper	scope	requested_scope	resolved_scope	contrast	requested_contrast	resolved_source_contrast	resolved_target_contrast	readout_contrast	availability_status	unavailable_reason	api_infinity_policy	aggregation	model_s	model_t	metric	statistic	n_observations	expected_observations	observation_coverage	n_prompts	expected_prompts	prompt_coverage	f_point	f_lo	f_hi
recent_model_robustness	glimmer_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	qwen2.5-0.5b-instruct	muse-glimmer-30b	F_pred	spearman	3270	3270	1.0	3270	3270	1.0	0.4330064400940502	0.4060536000194477	0.4608345877678082
recent_model_robustness	glimmer_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	qwen2.5-0.5b-instruct	muse-glimmer-30b	F_pred	pearson_r	3270	3270	1.0	3270	3270	1.0	0.4505035110184477	0.4240905097265441	0.476617985627309
recent_model_robustness	glimmer_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	qwen2.5-0.5b-instruct	muse-glimmer-30b	F_pred	pearson_r2	3270	3270	1.0	3270	3270	1.0	0.20295341343994863	0.17985276584458307	0.22716470422665677
recent_model_robustness	glimmer_open	boolq	sentence	user	user	user_segment_coordinates_from_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	qwen2.5-0.5b-instruct	muse-glimmer-30b	F_attr	spearman	17706	17706	1.0	3270	3270	1.0	0.23825194703231786	0.21876992212497198	0.2564846793356358
recent_model_robustness	glimmer_open	boolq	sentence	user	user	user_segment_coordinates_from_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	qwen2.5-0.5b-instruct	muse-glimmer-30b	F_attr	pearson_r	17706	17706	1.0	3270	3270	1.0	0.40529981939074905	0.384748020127599	0.4265272911909324
recent_model_robustness	glimmer_open	boolq	sentence	user	user	user_segment_coordinates_from_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	qwen2.5-0.5b-instruct	muse-glimmer-30b	F_attr	pearson_r2	17706	17706	1.0	3270	3270	1.0	0.1642679435981738	0.14803103916269503	0.18192553031978506
recent_model_robustness	glimmer_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	qwen2.5-3b-instruct	muse-glimmer-30b	F_pred	spearman	3270	3270	1.0	3270	3270	1.0	0.7999995862812124	0.7878618208450976	0.8114035116583338
recent_model_robustness	glimmer_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	qwen2.5-3b-instruct	muse-glimmer-30b	F_pred	pearson_r	3270	3270	1.0	3270	3270	1.0	0.7941416098237991	0.7794883647891913	0.8077918816614442
recent_model_robustness	glimmer_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	qwen2.5-3b-instruct	muse-glimmer-30b	F_pred	pearson_r2	3270	3270	1.0	3270	3270	1.0	0.6306608964535352	0.6076021117736331	0.652527724302593
recent_model_robustness	glimmer_open	boolq	sentence	user	user	user_segment_coordinates_from_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	qwen2.5-3b-instruct	muse-glimmer-30b	F_attr	spearman	17706	17706	1.0	3270	3270	1.0	0.4811116485566687	0.4666481868514622	0.4956722334152057
recent_model_robustness	glimmer_open	boolq	sentence	user	user	user_segment_coordinates_from_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	qwen2.5-3b-instruct	muse-glimmer-30b	F_attr	pearson_r	17706	17706	1.0	3270	3270	1.0	0.6797544194589517	0.6651428235597598	0.6939385110846971
recent_model_robustness	glimmer_open	boolq	sentence	user	user	user_segment_coordinates_from_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	qwen2.5-3b-instruct	muse-glimmer-30b	F_attr	pearson_r2	17706	17706	1.0	3270	3270	1.0	0.4620660707739764	0.4424149757413301	0.4815506571831596
recent_model_robustness	glimmer_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	llama-3.1-8b-instruct	muse-glimmer-30b	F_pred	spearman	3270	3270	1.0	3270	3270	1.0	0.8361166917984243	0.8263409788474757	0.8455943395213344
recent_model_robustness	glimmer_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	llama-3.1-8b-instruct	muse-glimmer-30b	F_pred	pearson_r	3270	3270	1.0	3270	3270	1.0	0.8373291013817445	0.8259589276621464	0.8484025086484378
recent_model_robustness	glimmer_open	boolq	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	llama-3.1-8b-instruct	muse-glimmer-30b	F_pred	pearson_r2	3270	3270	1.0	3270	3270	1.0	0.7011200240207598	0.6822081503286883	0.7197868179633718
recent_model_robustness	glimmer_open	boolq	sentence	user	user	user_segment_coordinates_from_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	llama-3.1-8b-instruct	muse-glimmer-30b	F_attr	spearman	17706	17706	1.0	3270	3270	1.0	0.4780420484948175	0.46269011795640147	0.4928342157799578
recent_model_robustness	glimmer_open	boolq	sentence	user	user	user_segment_coordinates_from_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		pairwise_complete	row_pooled	llama-3.1-8b-instruct	muse-glimmer-30b	F_attr	pearson_r	17706	17706	1.0	3270	3270	1.0	0.6833230632167011	0.6705256490831142	0.696020955072427
